CMDLINE /home/wuning/anaconda3/bin/python generateBeijingSupervisedData.py
MEM 0.738281 1537849685.5891
MEM 12.804688 1537849685.6894
MEM 21.804688 1537849685.7897
MEM 32.585938 1537849685.8901
MEM 33.355469 1537849685.9905
MEM 42.621094 1537849686.0909
MEM 45.546875 1537849686.1913
MEM 47.398438 1537849686.2917
MEM 77.421875 1537849686.3921
MEM 124.507812 1537849686.4924
MEM 129.597656 1537849686.5927
MEM 135.812500 1537849686.6930
MEM 151.210938 1537849686.7932
MEM 160.082031 1537849686.8936
MEM 175.328125 1537849686.9939
MEM 206.007812 1537849687.0942
MEM 222.394531 1537849687.1946
MEM 240.699219 1537849687.2949
MEM 268.464844 1537849687.3952
MEM 297.339844 1537849687.4956
MEM 333.949219 1537849687.5959
MEM 359.503906 1537849687.6962
MEM 387.863281 1537849687.7965
MEM 431.433594 1537849687.8969
MEM 445.613281 1537849687.9972
MEM 487.121094 1537849688.0976
MEM 533.609375 1537849688.1980
MEM 535.414062 1537849688.2983
MEM 614.304688 1537849688.3987
MEM 622.554688 1537849688.4990
MEM 623.328125 1537849688.5994
MEM 702.476562 1537849688.6997
MEM 733.929688 1537849688.8001
MEM 733.929688 1537849688.9005
MEM 757.648438 1537849689.0009
MEM 836.796875 1537849689.1013
MEM 905.792969 1537849689.2018
MEM 905.792969 1537849689.3022
MEM 905.792969 1537849689.4027
MEM 960.011719 1537849689.5031
MEM 1039.417969 1537849689.6035
MEM 1079.894531 1537849689.7040
MEM 1079.894531 1537849689.8044
MEM 1079.894531 1537849689.9048
MEM 1083.503906 1537849690.0053
MEM 1162.910156 1537849690.1057
MEM 1241.800781 1537849690.2061
MEM 1298.519531 1537849690.3066
MEM 1298.519531 1537849690.4070
MEM 1298.519531 1537849690.5075
MEM 1298.519531 1537849690.6079
MEM 1302.386719 1537849690.7084
MEM 1382.050781 1537849690.8088
MEM 1461.199219 1537849690.9093
MEM 1598.085938 1537849691.0097
MEM 1634.695312 1537849691.1102
MEM 1634.695312 1537849691.2106
MEM 1634.695312 1537849691.3111
MEM 1634.695312 1537849691.4115
MEM 1634.695312 1537849691.5120
MEM 1659.960938 1537849691.6124
MEM 1739.625000 1537849691.7128
MEM 1818.773438 1537849691.8133
MEM 1898.179688 1537849691.9137
MEM 1974.750000 1537849692.0141
MEM 1974.750000 1537849692.1146
MEM 1974.750000 1537849692.2150
MEM 1974.750000 1537849692.3155
MEM 1974.750000 1537849692.4159
MEM 1974.750000 1537849692.5164
MEM 1974.750000 1537849692.6169
MEM 2020.414062 1537849692.7173
MEM 2099.562500 1537849692.8177
MEM 2178.710938 1537849692.9181
MEM 2258.375000 1537849693.0186
MEM 2337.781250 1537849693.1190
MEM 2399.656250 1537849693.2194
MEM 2399.656250 1537849693.3199
MEM 2399.656250 1537849693.4203
MEM 2399.656250 1537849693.5208
MEM 2399.656250 1537849693.6212
MEM 2399.656250 1537849693.7217
MEM 2399.656250 1537849693.8221
MEM 2399.656250 1537849693.9226
MEM 2417.187500 1537849694.0230
MEM 2496.593750 1537849694.1234
MEM 2575.226562 1537849694.2239
MEM 2654.632812 1537849694.3243
MEM 2734.039062 1537849694.4247
MEM 2813.703125 1537849694.5252
MEM 2893.109375 1537849694.6256
MEM 3060.300781 1537849694.7261
MEM 3060.300781 1537849694.8266
MEM 3060.300781 1537849694.9270
MEM 3060.300781 1537849695.0275
MEM 3060.300781 1537849695.1279
MEM 3060.300781 1537849695.2284
MEM 3060.300781 1537849695.3288
MEM 3060.300781 1537849695.4292
MEM 3060.300781 1537849695.5297
MEM 3060.300781 1537849695.6302
MEM 3092.785156 1537849695.7306
MEM 3172.191406 1537849695.8311
MEM 3251.597656 1537849695.9315
MEM 3331.261719 1537849696.0319
MEM 3410.667969 1537849696.1324
MEM 3489.558594 1537849696.2328
MEM 3568.964844 1537849696.3332
MEM 3648.371094 1537849696.4337
MEM 3725.972656 1537849696.5341
MEM 3725.972656 1537849696.6346
MEM 3725.972656 1537849696.7350
MEM 3725.972656 1537849696.8355
MEM 3725.972656 1537849696.9359
MEM 3725.972656 1537849697.0364
MEM 3725.972656 1537849697.1368
MEM 3725.972656 1537849697.2372
MEM 3725.972656 1537849697.3377
MEM 3725.972656 1537849697.4382
MEM 3725.972656 1537849697.5387
MEM 3725.972656 1537849697.6391
MEM 3725.972656 1537849697.7396
MEM 3779.597656 1537849697.8400
MEM 3859.003906 1537849697.9404
MEM 3938.667969 1537849698.0408
MEM 4018.332031 1537849698.1413
MEM 4097.222656 1537849698.2417
MEM 4176.886719 1537849698.3422
MEM 4256.550781 1537849698.4426
MEM 4336.214844 1537849698.5430
MEM 4415.878906 1537849698.6434
MEM 4495.542969 1537849698.7439
MEM 4557.417969 1537849698.8443
